API Well Number,County,Company Name,API Hole Number,Sidetrack Code,Completion Code,Well Type Code,Production Field,Well Status Code,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, Mcf","Water Produced, bbl","Oil Produced, bbl",Reporting Year,New Georeferenced Column
31003068620000,Allegany,"Carney, Chad d/b/a Carney Oil",06862,00,00,OD,Richburg,IN,York 44,Scio,Fulmer Valley,0,0,0,0,2018,"Scio, NY (42.171429, -77.97865)"
31003068630000,Allegany,"Burdick, Jeffery H",06863,00,00,OD,Richburg,AC,Foreman 112,Bolivar,Waugh & Porter,4,0,3,5,2018,"Bolivar, NY (42.066701, -78.167667)"
31003068750000,Allegany,"Simon of Bolivar Enterprises, Inc.",06875,00,00,IW,Richburg,IN,Wheeler 42 (W42),Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003068760000,Allegany,J. J. Bucher Producing Corporation,06876,00,00,OD,Richburg,IN,Wheeler B-2,Bolivar,Richburg,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003069680000,Allegany,"Carney, Chad d/b/a Carney Oil",06968,00,00,OD,Richburg,IN,York 46,Scio,Fulmer Valley,0,0,0,0,2018,"Scio, NY (42.171429, -77.97865)"
31003070950000,Allegany,"Sandstone Oil & Gas Development, LLC",07095,00,00,OD,Richburg,AC,Slade Lot 29 F-11,Genesee,Richburg,8,0,17,11,2018,"Genesee, NY (42.02693, -78.205893)"
31003071300000,Allegany,Richardson Petroleum Corp.,07130,00,00,OD,Beech Hill-Independence,AC,Oscar Potter 10,Independence,Fulmer Valley,12,35,1,1,2018,"Independence, NY (42.088045, -77.781386)"
31003071310000,Allegany,Richardson Petroleum Corp.,07131,00,00,OD,Beech Hill-Independence,AC,"Potter, L 3",Independence,Fulmer Valley,12,0,0,35,2018,"Independence, NY (42.088045, -77.781386)"
31003071520000,Allegany,Klein Oil & Logging,07152,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 24,Independence,Fulmer Valley,6,1,1,6,2018,"Independence, NY (42.088045, -77.781386)"
31003071650000,Allegany,Klein Oil & Logging,07165,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 26,Independence,Fulmer Valley,6,1,1,6,2018,"Independence, NY (42.088045, -77.781386)"
31003075030000,Allegany,PPP Future Development Inc.,07503,00,00,GD,Gordon Brook,IN,"Ramsey, A 1",Scio,Oriskany,0,0,0,0,2018,"Scio, NY (42.171429, -77.97865)"
31003077440000,Allegany,Klein Oil & Logging,07744,00,00,OD,Beech Hill-Independence,AC,Austin 40-5,Independence,Fulmer Valley,12,1,11,66,2018,"Independence, NY (42.088045, -77.781386)"
31003078470000,Allegany,Richardson Petroleum Corp.,07847,00,00,OD,Beech Hill-Independence,AC,Quinette-Bledsoe 043,Independence,Fulmer Valley,12,56,1,2,2018,"Independence, NY (42.088045, -77.781386)"
31003080280000,Allegany,Klein Oil & Logging,08028,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 29,Independence,Fulmer Valley,6,1,1,5,2018,"Independence, NY (42.088045, -77.781386)"
31003080290000,Allegany,Richardson Petroleum Corp.,08029,00,00,IW,Beech Hill-Independence,AC,Quinette-Bledsoe O33,Independence,Fulmer Valley,12,56,1,2,2018,"Independence, NY (42.088045, -77.781386)"
31003080320000,Allegany,Klein Oil & Logging,08032,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 30,Independence,Fulmer Valley,6,1,2,6,2018,"Independence, NY (42.088045, -77.781386)"
31003080330000,Allegany,Richardson Petroleum Corp.,08033,00,00,OD,Beech Hill-Independence,AC,Quintette Stillman 06,Independence,Fulmer Valley,12,236,3,23,2018,"Independence, NY (42.088045, -77.781386)"
31003080440000,Allegany,"C.O.G. Development & Resources, Inc.",08044,00,00,IW,Richburg,IN,Meadowbank 012,Bolivar,Waugh & Porter,0,0,0,0,2018,"Bolivar, NY (42.066701, -78.167667)"
31003080490000,Allegany,Klein Oil & Logging,08049,00,00,OD,Beech Hill-Independence,AC,Austin-Bayard 32,Independence,Fulmer Valley,6,1,3,10,2018,"Independence, NY (42.088045, -77.781386)"
31003082820000,Allegany,"Simon of Bolivar Enterprises, Inc.",08282,00,00,OD,Richburg,AC,Wheeler 43 (P43),Bolivar,Richburg,12,0,20,2,2018,"Bolivar, NY (42.066701, -78.167667)"
